OrderID,CurrentClinicName1,CurrentClinicName2,CurrentClinicCity,CurrentClinicState,MedicalDirector,ND_NumIntentRet1,ND_NumIntentRet2,ND_NumIntentRet3,ND_NumIntentRet4,ND_IntentRetLB1,ND_IntentRetLB2,ND_IntentRetLB3,ND_IntentRetLB4,ND_IntentRetSingleLB1,ND_IntentRetSingleLB2,ND_IntentRetSingleLB3,ND_IntentRetSingleLB4,ND_NumRetrieve1,ND_NumRetrieve2,ND_NumRetrieve3,ND_NumRetrieve4,ND_RetrieveLB1,ND_RetrieveLB2,ND_RetrieveLB3,ND_RetrieveLB4,ND_RetrieveSingleLB1,ND_RetrieveSingleLB2,ND_RetrieveSingleLB3,ND_RetrieveSingleLB4,ND_NumTrans1,ND_NumTrans2,ND_NumTrans3,ND_NumTrans4,ND_TransLB1,ND_TransLB2,ND_TransLB3,ND_TransLB4,ND_TransSingleLB1,ND_TransSingleLB2,ND_TransSingleLB3,ND_TransSingleLB4,ND_IntentRetPerLB1,ND_IntentRetPerLB2,ND_IntentRetPerLB3,ND_IntentRetPerLB4,NewND_1IntentRetLB1,NewND_1IntentRetLB2,NewND_1IntentRetLB3,NewND_1IntentRetLB4,NewND_2IntentRetLB1,NewND_2IntentRetLB2,NewND_2IntentRetLB3,NewND_2IntentRetLB4,NewND_AllIntentRetLB1,NewND_AllIntentRetLB2,NewND_AllIntentRetLB3,NewND_AllIntentRetLB4,NewND_IntentRetPerNew1,NewND_IntentRetPerNew2,NewND_IntentRetPerNew3,NewND_IntentRetPerNew4,NewND_TransPerIntentRet1,NewND_TransPerIntentRet2,NewND_TransPerIntentRet3,NewND_TransPerIntentRet4,Donor_NumTrans1,Donor_NumTrans2,Donor_NumTrans3,Donor_NumTrans4,Donor_TransLB1,Donor_TransLB2,Donor_TransLB3,Donor_TransLB4,Donor_TranSingleLB1,Donor_TranSingleLB2,Donor_TranSingleLB3,Donor_TranSingleLB4,TotNumCycles1,TotNumCycles2,TotNumCycles3,TotNumCycles4,TotNumCyclesAll,CycleCancel1,CycleCancel2,CycleCancel3,CycleCancel4,CycleCancelAll,CycleStop1,CycleStop2,CycleStop3,CycleStop4,CycleStopAll,CycleFertPres1,CycleFertPres2,CycleFertPres3,CycleFertPres4,CycleFertPresAll,TransCarrier1,TransCarrier2,TransCarrier3,TransCarrier4,TransCarrierAll,TransFrozEmb1,TransFrozEmb2,TransFrozEmb3,TransFrozEmb4,TransFrozEmbAll,TransICSI1,TransICSI2,TransICSI3,TransICSI4,TransICSIAll,TransPGT1,TransPGT2,TransPGT3,TransPGT4,TransPGTAll,ReasonMale,ReasonEndo,ReasonTubal,ReasonOvul,ReasonUterine,ReasonPGT,ReasonCarrier,ReasonDOR,ReasonBank,ReasonPregLoss,ReasonOtherInfert,ReasonNonInfert,ReasonUnexplained,DonorEggService,DonatedEmbryoService,EmbryoCryoService,EggCryoService,GestCarrierService,SARTmember,LabAccred,NumResearch,CurrentStateAbbrev,gcode,point,lat,lon
11,ARIZONA ASSOCIATES FOR REPRODUCTIVE HEALTH,,SCOTTSDALE,ARIZONA,"Ketan S. Patel, MD",54,38,28,9,0.556,42.10%,14.30%,* / 9,0.5,42.10%,14.30%,* / 9,49,35,24,7,61.20%,45.70%,16.70%,* / 7,55.10%,45.70%,16.70%,* / 7,43,27,10,*,69.80%,59.30%,* / 10,* / *,62.80%,59.30%,* / 10,* / *,1.8,2.4,7,4.5,62.20%,48.00%,* / 15,* / 5,73.00%,56.00%,* / 15,* / 5,75.70%,56.00%,* / 15,* / 5,1.3,1.2,1.4,1,0.9,0.7,0.3,0.2,0,0,9,0,,,9-Aug,,,,9-Jul,,155,88,76,31,350,4.50%,6.00%,16.40%,10.00%,8.40%,11.90%,17.60%,19.40%,31.00%,16.60%,6.50%,5.70%,2.60%,3.20%,5.10%,1.50%,5.00%,0.00%,* / 11,2.90%,92.60%,90.00%,95.20%,11-Oct,92.10%,0.926,87.50%,95.20%,11-Aug,90.00%,0.676,65.00%,66.70%,11-Jun,65.70%,47%,7%,10%,0.07,6%,76%,1%,0.27,40%,7%,78%,2%,3%,Yes,No,Yes,Yes,Yes,Yes,Yes,0,AZ,"Scottsdale, Maricopa County, Arizona, United States","(33.4942189, -111.9260184, 0.0)",33.4942189,-111.9260184
12,ARIZONA CENTER FOR FERTILITY STUDIES,(ACFS FERTILITY),SCOTTSDALE,ARIZONA,"Shane T. Lipskind, MD",25,17,23,20,0.28,17-May,17.40%,20.00%,0.28,17-May,17.40%,20.00%,24,17,23,20,29.20%,17-May,17.40%,20.00%,29.20%,17-May,17.40%,20.00%,9,7,7,*,9-Jul,7-May,* / 7,* / *,9-Jul,7-May,* / 7,* / *,3.6,3.4,5.8,5,19-Jun,* / 9,* / 12,* / 7,19-Jul,* / 9,* / 12,* / 7,19-Jul,* / 9,* / 12,* / 7,1.1,1.2,1,1.7,0.5,0.5,0.5,0.3,0,0,14,0,,,14-Aug,,,,14-Aug,,90,63,41,42,236,3.30%,0.00%,0.00%,6.70%,2.60%,5.70%,11.10%,2.40%,22.50%,9.50%,23.30%,6.30%,9.80%,4.80%,13.10%,0.00%,4.50%,* / 19,* / 12,6.00%,100.00%,100.00%,19 / 19,12-Dec,100.00%,1,95.50%,17 / 19,12-Dec,96.40%,0.933,90.90%,15 / 19,12-Nov,89.20%,12%,7%,7%,0.06,3%,64%,1%,0.31,64%,3%,0%,0%,1%,Yes,Yes,Yes,Yes,Yes,No,Yes,0,AZ,"Scottsdale, Maricopa County, Arizona, United States","(33.4942189, -111.9260184, 0.0)",33.4942189,-111.9260184
13,BLOOM REPRODUCTIVE INSTITUTE,,SCOTTSDALE,ARIZONA,"Millie A. Behera, MD",80,57,78,40,0.525,31.60%,23.10%,2.50%,0.463,26.30%,16.70%,2.50%,79,52,71,31,53.20%,34.60%,25.40%,3.20%,46.80%,28.80%,18.30%,3.20%,82,38,33,8,51.20%,47.40%,54.50%,* / 8,45.10%,39.50%,39.40%,* / 8,1.9,3.2,4.3,40,56.40%,40.00%,19.40%,* / 16,60.00%,42.90%,38.70%,* / 16,61.80%,42.90%,41.90%,* / 16,1.2,1.3,1.5,1.6,1.1,0.7,0.5,0.2,*,*,33,*,* / *,0 / *,42.40%,0 / *,* / *,0 / *,42.40%,0 / *,271,138,113,106,628,3.30%,1.50%,12.90%,14.80%,6.60%,2.30%,3.60%,11.50%,14.40%,6.10%,4.80%,5.10%,1.80%,2.80%,4.00%,0.00%,0.00%,9.10%,8.90%,3.10%,95.60%,95.90%,97.70%,91.10%,95.30%,0.802,83.80%,90.90%,46.70%,77.20%,0.802,87.80%,88.60%,82.20%,84.30%,16%,11%,7%,0.3,5%,2%,1%,0.51,54%,6%,4%,1%,2%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,AZ,"Scottsdale, Maricopa County, Arizona, United States","(33.4942189, -111.9260184, 0.0)",33.4942189,-111.9260184
14,IVF PHOENIX,,SCOTTSDALE,ARIZONA,"John L. Couvaras, MD",50,26,19,22,0.22,3.80%,* / 19,0.00%,0.22,3.80%,* / 19,0.00%,45,23,18,18,24.40%,4.30%,* / 18,0 / 18,24.40%,4.30%,* / 18,0 / 18,31,12,11,6,35.50%,* / 12,* / 11,0 / 6,35.50%,* / 12,* / 11,0 / 6,4.5,26,4.8,,23.70%,0 / 12,* / 15,0.00%,26.30%,0 / 12,* / 15,0.00%,26.30%,0 / 12,* / 15,0.00%,1.2,1.5,1.1,1,0.6,0.4,0.6,0.3,0,0,*,0,,,* / *,,,,* / *,,89,54,58,38,239,5.70%,3.10%,12.80%,8.70%,7.50%,7.00%,9.40%,7.50%,11.10%,8.30%,0.00%,5.60%,0.00%,0.00%,1.30%,10.80%,4.30%,* / 19,* / 15,9.60%,97.30%,95.70%,19 / 19,14 / 15,96.80%,0.973,95.70%,16 / 19,15-Dec,91.50%,0.703,73.90%,13 / 19,15-Sep,69.10%,21%,2%,<1%,0.03,<1%,3%,2%,0.13,48%,15%,16%,10%,29%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,AZ,"Scottsdale, Maricopa County, Arizona, United States","(33.4942189, -111.9260184, 0.0)",33.4942189,-111.9260184
15,"FERTILITY TREATMENT CENTER, PC",,TEMPE,ARIZONA,"H. Randall Craig, MD",63,47,50,50,0.508,31.90%,12.00%,12.00%,0.333,29.80%,12.00%,12.00%,58,37,34,41,55.20%,40.50%,17.60%,14.60%,36.20%,37.80%,17.60%,14.60%,67,34,20,31,47.80%,44.10%,30.00%,19.40%,31.30%,41.20%,30.00%,19.40%,2,3.1,8.3,8.3,53.50%,18-Aug,20.80%,9.10%,53.50%,18-Aug,25.00%,9.10%,60.50%,18-Sep,25.00%,13.60%,1.2,1.2,1.5,1.4,1.1,1,0.5,0.7,0,0,14,39,,,* / 14,33.30%,,,* / 14,23.10%,183,99,129,117,528,16.50%,17.50%,32.50%,36.40%,26.30%,3.00%,4.30%,18.60%,9.70%,8.10%,0.00%,0.00%,0.80%,0.00%,0.20%,1.00%,0.00%,0.00%,0.00%,0.40%,96.00%,87.90%,88.20%,81.00%,89.30%,0.743,72.70%,78.40%,66.70%,73.00%,0.089,13.60%,5.90%,9.50%,9.60%,18%,2%,4%,0.2,1%,3%,<1%,0.41,32%,2%,10%,4%,21%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,AZ,"Tempe, Maricopa County, Arizona, United States","(33.4255056, -111.9400091, 0.0)",33.4255056,-111.9400091
16,ARIZONA CENTER FOR REPRODUCTIVE ENDOCRINOLOGY AND INFERTILITY,,TUCSON,ARIZONA,"Timothy J. Gelety, MD",46,29,17,12,0.5,31.00%,17-May,* / 12,0.435,20.70%,* / 17,* / 12,46,29,17,11,50.00%,31.00%,17-May,* / 11,43.50%,20.70%,* / 17,* / 11,66,42,20,14,34.80%,21.40%,25.00%,* / 14,30.30%,14.30%,20.00%,* / 14,2,3.2,3.4,6,56.10%,17-Jun,* / 9,* / 6,56.10%,17-Jul,* / 9,* / 6,56.10%,17-Jul,* / 9,* / 6,1,1.2,1,1,1.5,1.6,1.3,1.8,5,0,13,0,* / 5,,13-May,,* / 5,,* / 13,,110,44,52,46,252,0.00%,0.00%,3.60%,6.30%,2.00%,10.90%,9.10%,5.90%,6.80%,8.80%,0.00%,2.30%,3.80%,6.50%,2.40%,0.00%,0.00%,0.00%,0.00%,0.00%,46.80%,55.60%,60.00%,38.90%,49.50%,0.362,47.20%,37.50%,66.70%,43.70%,0.043,2.80%,2.50%,0.00%,2.90%,31%,10%,14%,0.16,5%,1%,0%,0.18,8%,3%,12%,10%,5%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,AZ,"Tucson, Pima County, Arizona, 85701, United States","(32.2228765, -110.9748477, 0.0)",32.2228765,-110.9748477
17,ARIZONA REPRODUCTIVE INSTITUTE,,TUCSON,ARIZONA,"Mark D Johnson, MD",77,34,29,29,0.545,29.40%,27.60%,10.30%,0.364,29.40%,24.10%,10.30%,77,32,26,28,54.50%,31.30%,30.80%,10.70%,36.40%,31.30%,26.90%,10.70%,91,42,15,12,46.20%,23.80%,15-Aug,* / 12,30.80%,23.80%,15-Jul,* / 12,1.8,3.4,3.6,9.7,59.00%,33.30%,15-Jun,* / 14,59.00%,37.00%,15-Jun,* / 14,59.00%,37.00%,15-Jun,* / 14,1.1,1.1,1.5,1.7,1.3,1.2,0.5,0.4,0,*,13,*,,0 / *,* / 13,* / *,,0 / *,* / 13,* / *,178,96,63,37,374,5.40%,4.30%,17.10%,0 / 16,7.00%,8.60%,7.40%,3.50%,13.50%,8.00%,3.40%,7.30%,1.60%,0.00%,3.70%,0.00%,4.30%,0.00%,0.00%,1.10%,100.00%,100.00%,96.40%,90.00%,98.40%,0.947,91.30%,78.60%,90.00%,91.00%,0.442,54.30%,50.00%,45.00%,47.60%,23%,6%,15%,0.13,3%,10%,1%,0.27,39%,8%,20%,6%,10%,No,Yes,Yes,Yes,Yes,Yes,Yes,0,AZ,"Tucson, Pima County, Arizona, 85701, United States","(32.2228765, -110.9748477, 0.0)",32.2228765,-110.9748477
18,REPRODUCTIVE HEALTH CENTER,,TUCSON,ARIZONA,"Scot M. Hutchison, MD",52,25,23,26,0.442,36.00%,34.80%,19.20%,0.442,36.00%,34.80%,19.20%,52,25,21,24,44.20%,36.00%,38.10%,20.80%,44.20%,36.00%,38.10%,20.80%,58,34,16,8,39.70%,26.50%,16-Aug,8-May,39.70%,26.50%,16-Aug,8-May,2.3,2.8,2.9,5.2,44.10%,19-Sep,* / 8,* / 6,52.90%,19-Sep,8-May,* / 6,55.90%,19-Sep,8-May,* / 6,1.2,1.2,1.6,2.2,1.2,1.4,0.7,0.2,0,*,9,*,,* / *,* / 9,0 / *,,* / *,* / 9,0 / *,107,77,42,41,267,2.40%,0.00%,10.00%,18.20%,5.60%,36.80%,45.50%,47.50%,56.80%,43.80%,2.80%,6.50%,2.40%,0.00%,3.40%,3.10%,0.00%,10.00%,* / 16,3.60%,96.90%,100.00%,95.00%,15 / 16,97.10%,0.969,100.00%,100.00%,15 / 16,97.80%,0.953,81.10%,80.00%,16-Oct,85.40%,8%,10%,15%,0.06,11%,4%,3%,0.08,3%,4%,8%,9%,28%,Yes,No,Yes,Yes,Yes,No,Yes,0,AZ,"Tucson, Pima County, Arizona, 85701, United States","(32.2228765, -110.9748477, 0.0)",32.2228765,-110.9748477
19,ARKANSAS FERTILITY CENTER,,LITTLE ROCK,ARKANSAS,"Dean M. Moutos, MD",95,43,28,6,0.505,32.60%,17.90%,0 / 6,0.411,25.60%,17.90%,0 / 6,86,39,26,*,55.80%,35.90%,19.20%,0 / *,45.30%,28.20%,19.20%,0 / *,104,49,27,*,46.20%,28.60%,18.50%,0 / *,37.50%,22.40%,18.50%,0 / *,2,3.1,5.6,,52.10%,44.00%,* / 14,0 / *,59.20%,48.00%,* / 14,0 / *,59.20%,48.00%,* / 14,0 / *,1.2,1.2,1.4,1.7,1.1,1.1,1,0.2,6,0,7,*,* / 6,,* / 7,* / *,* / 6,,* / 7,0 / *,212,77,70,22,381,11.30%,5.40%,3.30%,* / 7,9.00%,20.10%,14.70%,17.40%,19.00%,18.40%,1.90%,0.00%,0.00%,0.00%,1.00%,0.00%,0.00%,0.00%,0 / 17,0.00%,52.40%,57.60%,65.20%,17-Dec,56.90%,0.755,78.00%,82.60%,13 / 17,77.30%,0.014,11.90%,26.10%,17-May,9.70%,21%,11%,16%,0.05,4%,4%,0%,0.22,7%,2%,4%,0%,31%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,AR,"Little Rock, Pulaski County, Arkansas, 72201, United States","(34.7464809, -92.2895948, 0.0)",34.7464809,-92.2895948
20,LIFESTART FERTILITY CENTER,,AGOURA HILLS,CALIFORNIA,"Anita P. Singh, MD",*,6,0,0,* / *,* / 6,,,* / *,* / 6,,,*,6,0,0,* / *,* / 6,,,* / *,* / 6,,,*,*,0,0,* / *,* / *,,,* / *,* / *,,,1,3,,,* / *,* / *,,,* / *,* / *,,,* / *,* / *,,,1,2,,,1,0.5,,,0,0,0,0,,,,,,,,,*,5,6,*,17,0 / *,* / 5,* / 5,0 / *,* / 14,0 / *,* / *,0 / *,* / *,* / 14,* / *,* / 5,0 / 6,0 / *,* / 17,0 / *,,0 / *,0 / *,0 / *,* / *,,* / *,* / *,* / *,* / *,,* / *,* / *,* / *,* / *,,* / *,0 / *,* / *,17-Jul,* / 17,* / 17,0 / 17,0 / 17,* / 17,0 / 17,* / 17,17-Oct,0 / 17,* / 17,0 / 17,* / 17,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,CA,"Agoura Hills, Los Angeles County, California, 91301, United States","(34.14791, -118.7657042, 0.0)",34.14791,-118.7657042
21,ALTA BATES IN VITRO FERTILIZATION PROGRAM,,BERKELEY,CALIFORNIA,"Ryszard J. Chetkowski, MD",*,8,7,5,* / *,* / 8,* / 7,* / 5,* / *,* / 8,* / 7,* / 5,*,8,7,*,* / *,* / 8,* / 7,* / *,* / *,* / 8,* / 7,* / *,6,*,9,*,* / 6,* / *,* / 9,* / *,* / 6,* / *,* / 9,* / *,2,2,7,2.5,* / *,* / *,* / 6,* / *,* / *,* / *,* / 6,* / *,* / *,* / *,* / 6,* / *,1,1.3,1,1.3,1.5,0.6,1,0.5,0,0,8,0,,,* / 8,,,,* / 8,,11,19,15,18,63,0 / 6,0 / 12,0 / 6,* / 7,3.20%,0 / 11,* / 19,* / 15,* / 17,8.10%,* / 11,19-May,* / 15,0 / 18,11.10%,* / 6,0 / 8,0 / 8,* / 10,9.40%,6-May,8-Jul,8-Jul,10-Oct,90.60%,6-Jun,8-Aug,8-Jun,10-Jun,81.30%,6-May,8-Jun,* / 8,10-Jul,62.50%,30%,2%,5%,0.02,0%,10%,5%,0.19,40%,3%,25%,0%,6%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,CA,"University of California, Berkeley, North Street, Panoramic Hill, Berkeley, Alameda County, California, 94720-1076, United States","(37.8753497, -122.23963364918777, 0.0)",37.8753497,-122.2396336
22,CENTER FOR REPRODUCTIVE HEALTH & GYNECOLOGY,(CRH&G),BEVERLY HILLS,CALIFORNIA,"Sam Najmabadi, MD",22,18,22,23,0.5,18-Oct,22.70%,17.40%,0.409,18-Sep,22.70%,17.40%,21,18,20,19,52.40%,18-Oct,25.00%,* / 19,42.90%,18-Sep,25.00%,* / 19,18,14,9,7,18-Nov,14-Oct,9-May,* / 7,18-Sep,14-Sep,9-May,* / 7,2,1.8,4.4,5.8,11-Jul,16-Sep,* / 9,* / 18,11-Jul,16-Oct,* / 9,* / 18,11-Jul,16-Oct,* / 9,* / 18,1.4,1.1,1.8,1.2,0.7,0.8,0.4,0.3,0,0,5,0,,,* / 5,,,,* / 5,,30,27,47,40,144,0.00%,0.00%,0.00%,12.90%,3.50%,0.00%,11.10%,4.30%,2.80%,4.30%,50.00%,33.30%,27.70%,22.50%,31.90%,0 / 10,0 / 8,0 / 18,0 / 14,0.00%,* / 10,* / 8,18-Nov,14-Sep,56.00%,10-Sep,8-Jun,15 / 18,14-Nov,82.00%,* / 10,* / 8,18-Oct,* / 14,38.00%,39%,3%,3%,0.01,1%,24%,1%,0.43,60%,2%,43%,1%,1%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,CA,"Beverly Hills, California, United States","(34.0696501, -118.3963062, 0.0)",34.0696501,-118.3963062
23,SOUTHERN CALIFORNIA REPRODUCTIVE CENTER,,BEVERLY HILLS,CALIFORNIA,"Mark W. Surrey, MD",203,171,168,222,0.345,28.10%,18.50%,6.80%,0.31,26.90%,17.30%,6.80%,191,150,153,184,36.60%,32.00%,20.30%,8.20%,33.00%,30.70%,19.00%,8.20%,161,78,57,36,43.50%,61.50%,54.40%,41.70%,39.10%,59.00%,50.90%,41.70%,2.9,3.6,5.4,14.8,33.80%,28.00%,15.00%,7.40%,37.50%,32.60%,20.00%,9.10%,38.10%,33.30%,22.00%,10.70%,1.1,1.2,1.3,1.3,0.8,0.4,0.3,0.2,0,*,60,*,,0 / *,53.30%,* / *,,0 / *,48.30%,* / *,536,485,456,482,1959,3.40%,4.70%,7.40%,12.20%,6.80%,23.70%,25.40%,30.80%,42.70%,30.20%,25.20%,28.20%,21.70%,11.80%,21.80%,9.10%,10.80%,12.70%,15.90%,11.90%,100.00%,98.50%,98.30%,97.80%,98.80%,0.817,76.20%,67.80%,47.10%,69.00%,0.931,91.50%,89.00%,87.70%,90.60%,1%,<1%,<1%,<1%,<1%,<1%,1%,0.01,44%,<1%,15%,1%,54%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,CA,"Beverly Hills, California, United States","(34.0696501, -118.3963062, 0.0)",34.0696501,-118.3963062
24,FERTILITY CARE OF ORANGE COUNTY,,BREA,CALIFORNIA,"Changnin T. Lee, MD",26,24,23,16,0.538,58.30%,30.40%,16-Jul,0.462,54.20%,30.40%,16-Jul,24,18,18,14,58.30%,14 / 18,18-Jul,14-Jul,50.00%,13 / 18,18-Jul,14-Jul,31,18,14,9,45.20%,14 / 18,14-Jul,9-Jul,38.70%,13 / 18,14-Jul,9-Jul,1.9,1.7,3.3,2.3,60.00%,14-Jun,16-May,* / 7,60.00%,14-Oct,16-May,* / 7,60.00%,14-Oct,16-May,* / 7,1,1.3,1.1,1.1,1.2,0.8,0.6,0.6,0,0,22,*,,,45.50%,* / *,,,36.40%,* / *,63,69,62,49,243,17.40%,9.40%,23.50%,19-May,18.50%,1.70%,4.50%,3.70%,9.10%,4.50%,0.00%,4.30%,1.60%,0.00%,1.60%,5.10%,2.80%,7.40%,40.00%,12.90%,100.00%,100.00%,100.00%,100.00%,100.00%,1,100.00%,100.00%,93.30%,98.50%,0.974,100.00%,100.00%,100.00%,99.20%,16%,0%,19%,0.1,1%,92%,3%,0.32,94%,10%,2%,6%,26%,Yes,Yes,Yes,Yes,Yes,No,Yes,0,CA,"Brea, Orange County, California, United States","(33.9170444, -117.888855, 0.0)",33.9170444,-117.888855
25,CENTRAL CALIFORNIA IVF PROGRAM,WOMEN'S SPECIALTY AND FERTILITY CENTER,CLOVIS,CALIFORNIA,"Carlos SUELDO, MD",65,50,37,16,0.446,30.00%,29.70%,0 / 16,0.431,24.00%,18.90%,0 / 16,63,44,34,12,46.00%,34.10%,32.40%,0 / 12,44.40%,27.30%,20.60%,0 / 12,87,51,45,6,33.30%,29.40%,24.40%,0 / 6,32.20%,23.50%,15.60%,0 / 6,2.2,3.3,3.4,,46.40%,31.30%,21.70%,0 / 9,48.20%,31.30%,30.40%,0 / 9,48.20%,31.30%,30.40%,0 / 9,1.1,1.1,1.2,1.2,1.3,1.1,1.3,0.5,*,*,11,0,0 / *,0 / *,* / 11,,0 / *,0 / *,* / 11,,169,77,65,52,363,6.20%,17.10%,28.20%,39.30%,17.10%,17.80%,16.90%,13.00%,19.50%,17.00%,5.90%,7.80%,0.00%,3.80%,5.00%,4.30%,9.80%,4.70%,3.80%,5.50%,53.90%,68.60%,51.20%,65.40%,57.90%,0.948,96.10%,100.00%,80.80%,94.50%,0.061,7.80%,14.00%,19.20%,9.40%,22%,6%,13%,0.16,2%,4%,<1%,0.39,12%,1%,7%,3%,7%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,CA,"Clovis, Fresno County, California, United States","(36.8252277, -119.7029194, 0.0)",36.8252277,-119.7029194
26,CALIFORNIA CENTER FOR REPRODUCTIVE MEDICINE,,ENCINITAS,CALIFORNIA,"Lori L. Arnold, MD",14,15,8,9,14-Jun,15-Jul,* / 8,0 / 9,14-Jun,15-Jun,* / 8,0 / 9,14,14,7,8,14-Jun,14-Jul,* / 7,0 / 8,14-Jun,14-Jun,* / 7,0 / 8,11,13,5,*,11-Jun,13-Jul,* / 5,0 / *,11-Jun,13-Jun,* / 5,0 / *,2.3,2.1,8,,12-May,11-Jun,* / *,0 / 8,12-May,11-Jun,* / *,0 / 8,12-May,11-Jun,* / *,0 / 8,1,1.2,1,1,0.6,0.8,0.8,0.1,*,0,36,0,* / *,,83.30%,,* / *,,69.40%,,34,24,17,59,134,0 / 12,0 / 8,0 / 7,3.70%,1.90%,0.00%,0.00%,* / 17,12.10%,7.50%,0.00%,0.00%,0 / 17,0.00%,0.00%,47.80%,16-May,10-Jun,81.80%,59.80%,95.70%,16 / 16,10-Oct,93.90%,96.30%,1,14 / 16,10-Sep,93.90%,93.90%,0.913,15 / 16,10-Oct,93.90%,93.90%,22%,1%,1%,0.03,2%,7%,29%,0.37,37%,5%,16%,1%,4%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,CA,"Encinitas, San Diego County, California, United States","(33.0369867, -117.2919818, 0.0)",33.0369867,-117.2919818
27,"THE FERTILITY INSTITUTES-LOS ANGELES, NEW YORK, GUADALAJARA",,ENCINO,CALIFORNIA,"Jeffrey Steinberg, MD",44,31,26,6,0.205,29.00%,19.20%,* / 6,0.205,29.00%,19.20%,0 / 6,42,31,26,6,21.40%,29.00%,19.20%,* / 6,21.40%,29.00%,19.20%,0 / 6,24,11,16,5,37.50%,11-Sep,16-May,* / 5,37.50%,11-Sep,16-May,0 / 5,4.9,3.4,5.2,6,,,,,,,,,,,,,,,,,,,,,*,0,8,0,* / *,,* / 8,,* / *,,* / 8,,52,43,23,36,154,0.00%,4.90%,0 / 18,0.00%,1.70%,3.80%,19.50%,26.10%,16.70%,14.50%,7.70%,2.30%,8.70%,8.30%,6.50%,9.40%,0 / 18,* / 11,17-Oct,17.90%,59.40%,18-May,11-Jun,17-Oct,51.30%,1,18 / 18,11-Nov,17 / 17,100.00%,0.875,14 / 18,11-Oct,14 / 17,84.60%,1%,0%,0%,0,0%,88%,6%,0.01,23%,1%,8%,1%,1%,Yes,Yes,Yes,Yes,Yes,No,Yes,0,CA,"Encino, Los Angeles, California, 91316-3402, United States","(34.1591324, -118.5016166, 0.0)",34.1591324,-118.5016166
28,LOS ANGELES REPRODUCTIVE CENTER (LARC),,ENCINO,CALIFORNIA,"Nurit Winkler, MD",41,31,31,31,0.512,54.80%,22.60%,3.20%,0.463,54.80%,19.40%,3.20%,41,30,27,29,51.20%,56.70%,25.90%,3.40%,46.30%,56.70%,22.20%,3.40%,32,19,11,9,65.60%,17 / 19,11-Jul,* / 9,59.40%,17 / 19,11-Jun,* / 9,2,1.8,4.4,31,42.90%,18-Nov,15-May,* / 17,57.10%,18-Dec,15-May,* / 17,57.10%,18-Dec,15-Jun,* / 17,1.1,1.3,1.3,1.1,0.8,0.7,0.5,0.3,0,0,36,0,,,77.80%,,,,69.40%,,122,87,82,109,400,1.60%,3.90%,2.20%,13.40%,5.80%,5.00%,10.60%,17.30%,14.00%,11.10%,4.10%,9.20%,6.10%,3.70%,5.50%,12.10%,10.30%,13.80%,29.70%,16.30%,98.30%,100.00%,96.60%,100.00%,98.70%,0.879,82.80%,82.80%,75.70%,83.00%,0.741,72.40%,69.00%,18.90%,59.50%,32%,6%,5%,0.06,7%,5%,7%,0.36,53%,5%,19%,10%,8%,Yes,No,Yes,Yes,Yes,Yes,Pending,0,CA,"Encino, Los Angeles, California, 91316-3402, United States","(34.1591324, -118.5016166, 0.0)",34.1591324,-118.5016166
29,WESTERN FERTILITY INSTITUTE,,ENCINO,CALIFORNIA,"Ashim V. Kumar, MD",42,34,28,57,0.857,44.10%,25.00%,3.50%,0.762,41.20%,25.00%,3.50%,42,32,24,30,85.70%,46.90%,29.20%,6.70%,76.20%,43.80%,29.20%,6.70%,44,28,15,*,81.80%,53.60%,15-Jul,* / *,72.70%,50.00%,15-Jul,* / *,1.2,2.3,4,28.5,83.30%,40.90%,* / 12,3.40%,86.10%,50.00%,* / 12,3.40%,86.10%,50.00%,* / 12,3.40%,1,1.1,1.3,1.1,1.1,0.8,0.5,0.1,0,0,189,6,,,72.50%,6-May,,,61.40%,6-May,204,152,120,292,768,2.90%,4.30%,8.10%,9.30%,6.10%,7.50%,7.40%,8.70%,14.20%,10.20%,27.90%,32.20%,25.00%,18.80%,24.90%,41.90%,63.20%,67.90%,67.80%,60.20%,97.80%,100.00%,100.00%,100.00%,99.40%,0.022,0.00%,0.00%,0.70%,0.90%,0.989,100.00%,100.00%,99.30%,99.40%,11%,2%,1%,0.24,3%,3%,14%,0.2,21%,8%,10%,25%,3%,Yes,Yes,Yes,Yes,Yes,No,Yes,0,CA,"Encino, Los Angeles, California, 91316-3402, United States","(34.1591324, -118.5016166, 0.0)",34.1591324,-118.5016166
